Date,Open,High,Low,Close,Adj Close,Volume,date,created_utc,reg_output
2022-10-25,210.100006,224.350006,210.0,222.419998,222.419998,96507900,2022-10-25,1666646081.191142,-0.1093549073743254
2022-10-26,219.399994,230.600006,218.199997,224.639999,224.639999,85012500,2022-10-26,1666724977.6165192,-0.23020674445862802
2022-10-27,229.770004,233.809998,222.850006,225.089996,225.089996,61638800,2022-10-27,1666837902.5268817,-0.09074787499341783
2022-10-28,225.399994,228.860001,216.350006,228.520004,228.520004,69152400,2022-10-28,1666906660.6954546,-0.13564242543652655
2022-10-31,226.190002,229.850006,221.940002,227.539993,227.539993,61554300,2022-10-31,1667163269.503937,-0.17849201902079828
2022-11-01,234.050003,237.399994,227.279999,227.820007,227.820007,62688800,2022-11-01,1667276894.1165414,-0.2555771909485207
2022-11-02,226.039993,227.869995,214.820007,214.979996,214.979996,63070300,2022-11-02,1667339149.8224137,-0.24683382018300673
2022-11-03,211.360001,221.199997,210.139999,215.309998,215.309998,56538800,2022-11-03,1667446500.0485075,-0.12180995461795958
2022-11-04,222.600006,223.800003,203.080002,207.470001,207.470001,98622200,2022-11-04,1667509090.5205882,-0.1922589676517151
2022-11-07,208.649994,208.899994,196.660004,197.080002,197.080002,93916500,2022-11-07,1667781421.8086305,-0.0005948917872987115
2022-11-08,194.020004,195.199997,186.75,191.300003,191.300003,128803400,2022-11-08,1667860644.318403,-0.07940009001685767
2022-11-09,190.779999,195.889999,177.119995,177.589996,177.589996,127062700,2022-11-09,1667939093.3031087,-0.19880449915922443
2022-11-10,189.899994,191.0,180.029999,190.720001,190.720001,132703000,2022-11-10,1668044812.3333333,-0.2649618357173207
2022-11-11,186.0,196.520004,182.589996,195.970001,195.970001,114403600,2022-11-11,1668121391.4578314,-0.19870693905626885
2022-11-14,192.770004,195.729996,186.339996,190.949997,190.949997,92226600,2022-11-14,1668378279.0307918,-0.006362355675987354
2022-11-15,195.880005,200.820007,192.059998,194.419998,194.419998,91293800,2022-11-15,1668465731.581749,0.03299559731595926
2022-11-16,191.509995,192.570007,185.660004,186.919998,186.919998,66567600,2022-11-16,1668555916.1372032,-0.20175501224993406
2022-11-17,183.960007,186.160004,180.899994,183.169998,183.169998,64336000,2022-11-17,1668630934.2272727,-0.25178147682484675
2022-11-18,185.050003,185.190002,176.550003,180.190002,180.190002,76048900,2022-11-18,1668738159.0716612,-0.26367266264521133
2022-11-21,175.850006,176.770004,167.539993,167.869995,167.869995,92882700,2022-11-21,1668989459.5145798,-0.09356180763117311
2022-11-22,168.630005,170.919998,166.190002,169.910004,169.910004,78452300,2022-11-22,1669066947.5849056,-0.05769367824739091
2022-11-23,173.570007,183.619995,172.5,183.199997,183.199997,109536700,2022-11-23,1669151606.3674698,-0.14162241296593034
2022-11-25,185.059998,185.199997,180.630005,182.860001,182.860001,50672700,2022-11-25,1669328855.642623,0.021752913758067073
2022-11-28,179.960007,188.5,179.0,182.919998,182.919998,92905200,2022-11-28,1669607882.5461538,-0.09247226645552123
2022-11-29,184.990005,186.380005,178.75,180.830002,180.830002,83357100,2022-11-29,1669676201.575198,-0.12728115579231317
2022-11-30,182.429993,194.759995,180.630005,194.699997,194.699997,109186400,2022-11-30,1669768073.213983,-0.053003964007568696
2022-12-01,197.080002,198.919998,191.800003,194.699997,194.699997,80046200,2022-12-01,1669847716.6644738,-0.14915057529313408
2022-12-02,191.779999,196.25,191.110001,194.860001,194.860001,73645900,2022-12-02,1669954925.8633952,-0.19182005583885156
2022-12-05,189.440002,191.270004,180.550003,182.449997,182.449997,93122700,2022-12-05,1670191974.7357724,-0.21920013269508917
2022-12-06,181.220001,183.649994,175.330002,179.820007,179.820007,92150800,2022-12-06,1670282523.7142856,-0.20288595459756575
2022-12-07,175.029999,179.380005,172.220001,174.039993,174.039993,84213300,2022-12-07,1670374056.7943926,-0.36099341568156984
2022-12-08,172.199997,175.199997,169.059998,173.440002,173.440002,97624500,2022-12-08,1670455862.4747827,-0.21074715485634363
2022-12-09,173.839996,182.5,173.360001,179.050003,179.050003,104872300,2022-12-09,1670534437.2969189,-0.08691848464524086
2022-12-12,176.100006,177.369995,167.520004,167.820007,167.820007,109794500,2022-12-12,1670799628.3076923,-0.20908237005306335
2022-12-13,174.869995,175.050003,156.910004,160.949997,160.949997,175862700,2022-12-13,1670883674.0821917,-0.06811316464931946
2022-12-14,159.25,161.619995,155.309998,156.800003,156.800003,140682300,2022-12-14,1670971974.7307692,-0.09593476008516379
2022-12-15,153.440002,160.929993,153.279999,157.669998,157.669998,122334500,2022-12-15,1671061892.939394,-0.14362043684531905
2022-12-16,159.639999,160.990005,150.039993,150.229996,150.229996,139032200,2022-12-16,1671142170.0952382,0.03809585952244343
2022-12-19,154.0,155.25,145.820007,149.869995,149.869995,139390600,2022-12-19,1671405259.0,-0.24448369579571907
2022-12-20,146.050003,148.470001,137.660004,137.800003,137.800003,159563300,2022-12-20,1671506734.4545455,-0.11875917711718517
2022-12-21,139.339996,141.259995,135.889999,137.570007,137.570007,145417400,2022-12-21,1671576935.56,-0.22252805793425068
2022-12-22,136.0,136.630005,122.260002,125.349998,125.349998,210090300,2022-12-22,1671663163.8333333,-0.11480381250813869
2022-12-23,126.370003,128.619995,121.019997,123.150002,123.150002,166989700,2022-12-23,1671745140.6333334,-0.010171456400227421
2022-12-27,117.5,119.669998,108.760002,109.099998,109.099998,208643400,2022-12-27,1672101001.52,0.010059760445728901
2022-12-28,110.349998,116.269997,108.239998,112.709999,112.709999,221070500,2022-12-28,1672179295.75,-0.11006882453511933
2022-12-29,120.389999,123.57,117.5,121.82,121.82,221923300,2022-12-29,1672265989.4,0.01679880724987015
2022-12-30,119.949997,124.480003,119.75,123.18,123.18,157304500,2022-12-30,1672353479.6818182,-0.10372310819696975
2023-01-03,118.470001,118.800003,104.639999,108.099998,108.099998,231402800,2023-01-03,1672693724.5882354,0.04715763439205202
2023-01-04,109.110001,114.589996,107.519997,113.639999,113.639999,180389000,2023-01-04,1672772298.0,0.028324742801487442
2023-01-05,110.510002,111.75,107.160004,110.339996,110.339996,157986300,2023-01-05,0.0,0.0
2023-01-06,103.0,114.389999,101.809998,113.059998,113.059998,220575900,2023-01-06,1672951500.0,0.0870527659232418
2023-01-09,118.959999,123.519997,117.110001,119.769997,119.769997,190284000,2023-01-09,0.0,0.0
2023-01-10,121.07,122.760002,114.919998,118.849998,118.849998,167642500,2023-01-10,0.0,0.0
2023-01-11,122.089996,125.949997,120.510002,123.220001,123.220001,183810800,2023-01-11,1673391116.0,-0.30120866900930804
2023-01-12,122.559998,124.129997,117.0,123.559998,123.559998,169400900,2023-01-12,1673449890.0,0.5604582116939127
2023-01-13,116.550003,122.629997,115.599998,122.400002,122.400002,180439300,2023-01-13,1673548857.0,0.989603215130046
2023-01-17,125.699997,131.699997,125.019997,131.490005,131.490005,186477000,2023-01-17,1673878952.0,0.0561637552455067
2023-01-18,136.559998,136.679993,127.010002,128.779999,128.779999,195680300,2023-01-18,1673981039.0,-0.053787775337696
